Campaign Name,Region,Ad Spend ($),Impressions,Clicks,Conversions,Revenue Generated ($),CTR (%),Conversion Rate (%)
Black Friday Deals,North America,5000,150000,7500,450,15000,5.0,6.0
Summer Sale,Europe,7000,200000,10000,700,28000,5.0,7.000000000000001
New Year Promo,Asia-Pacific,4500,120000,6000,320,9800,5.0,5.333333333333334
Spring Discount,North America,6200,180000,8500,580,21000,4.722222222222222,6.8235294117647065
Cyber Monday,Europe,8000,220000,11000,900,36000,5.0,8.181818181818182
Black Friday Deals,Asia-Pacific,4000,110000,5000,300,8700,4.545454545454546,6.0
Summer Sale,North America,6000,160000,7800,620,25000,4.875,7.948717948717948
New Year Promo,Europe,3000,90000,4500,220,6400,5.0,4.888888888888889
Spring Discount,Asia-Pacific,5500,140000,7200,500,20000,5.142857142857142,6.944444444444445
Cyber Monday,North America,7500,210000,11200,880,34000,5.333333333333334,7.857142857142857
Black Friday Deals,Europe,4800,125000,5900,340,10500,4.72,5.762711864406779
Summer Sale,Asia-Pacific,6500,175000,8900,600,24000,5.085714285714285,6.741573033707865
New Year Promo,North America,3500,95000,4700,250,7200,4.947368421052632,5.319148936170213
Spring Discount,Europe,5300,135000,7000,480,19000,5.185185185185185,6.857142857142858
Cyber Monday,Asia-Pacific,8200,230000,11800,940,40000,5.130434782608695,7.966101694915253
